pos,neg,pos_count,neg_count
positive,negative,0,0
positive,negative,0,1
positive,negative,0,1
positive,negative,0,1
positive,negative,1,1
positive,negative,2,1
positive,negative,2,1
positive,negative,3,1
positive,negative,3,2
positive,negative,3,3
positive,negative,3,3
positive,negative,4,3
positive,negative,5,3
positive,negative,5,3
positive,negative,5,4
positive,negative,5,4
positive,negative,5,5
positive,negative,5,5
positive,negative,5,5
positive,negative,6,5
positive,negative,7,5
positive,negative,7,5
positive,negative,8,5
positive,negative,8,6
positive,negative,8,7
positive,negative,8,7
positive,negative,9,7
positive,negative,10,7
positive,negative,10,7
positive,negative,10,8
positive,negative,10,8
positive,negative,10,9
positive,negative,10,9
positive,negative,10,9
positive,negative,11,9
positive,negative,12,9
positive,negative,12,9
positive,negative,13,9
positive,negative,13,10
positive,negative,13,11
positive,negative,13,11
positive,negative,14,11
positive,negative,15,11
